Slang,Definition,Example Sentence
on god,seriously,That drop had everyone acting on god.
period,end of discussion,I can not believe how period that turned out.
bet,Used to confirm something or agree.,"""Bet, I'll be there."""
highkey af,extremely openly and obviously,His reaction was so highkey af I could not stop laughing.
ultra drip,stylish outfit or fashion sense,That comeback was so ultra drip honestly.
so fr,extremely for real,That fit is so fr.
outta pocket,unexpected,"Bro, you are literally giving outta pocket right now."
no cap af,"extremely honestly, no lie",He is no cap af.
W,W,She posted that and the energy was W.
big yikes,Something extremely embarrassing or cringeworthy.,"""That was a big yikes moment."""
caught in 4k af,extremely caught with undeniable proof,I have been on my caught in 4k af behavior lately.
they cooked af,extremely they cooked,They were being so they cooked af about this whole thing.
iykyk,if you know you know,Everything about this moment is iykyk.
fanum tax af,extremely fanum tax,He is fanum tax af.
delusional arc af,extremely going through an unrealistic phase,They were being so delusional arc af about this whole thing.
clutch,important success,Everyone on Discord went full clutch when that happened.
era,a personal phase or period,I have been on my era behavior lately.
salty,Bitter or upset.,"""Why are you so salty?"""
mega zone,a specific mental or physical space,That person has mega zone today.
so aura farming,extremely intentionally building a mysterious presence,How do people stay this aura farming all the time?
valid,extremely acceptable and understandable,They were being so valid af about this whole thing.
shade,Subtle insult.,"""She's throwing shade at her ex."""
rent free,extremely staying in your mind uninvited,"You cooked so hard, that was peak rent free af."
super flex,show off,The internet blew up because that was straight super flex.
so rent free,extremely staying in your mind uninvited,That fit is so rent free.
vibe,The mood or atmosphere.,"""I love the vibe here."""
so W,extremely w,That fit is so W.
thirsty af,extremely thirsty,He is thirsty af.
drip,"Stylish or fashionable, especially in clothing.","""Check out my drip today."""
soft launch af,extremely subtly hinting about a relationship,I have been on my soft launch af behavior lately.
so brainrot,extremely brainrot,That fit is so brainrot.
delulu af,extremely being delusional,The vibe in that room was literally delulu af.
so she cooked,extremely she did it perfectly,I can not believe how she cooked that turned out.
glazing,overpraising,I went into full glazing mode and had no regrets.
based af,extremely confident and unapologetic,My friend group chat was giving based af energy all day.
ick,ick,Everything about this moment is ick.
so head empty,extremely thinking about nothing,That fit is so head empty.
so bare minimum,extremely bare minimum,Why is everyone so bare minimum lately?
locked in,focused,She is locked in for this exam.
fr,extremely for real,She posted that and the energy was fr af.
fanum tax,extremely fanum tax,"That fit was actually fanum tax af, no cap."
out of pocket af,extremely out of pocket,Is it just me or is this giving out of pocket af energy?
so beta,extremely beta,She has such beta energy today.
so corecore,extremely a deeply emotional internet aesthetic,That fit is so corecore.
so locked in,extremely fully focused,Did you catch how locked in that was?
ratio af,extremely getting more replies than likes,"You cooked so hard, that was peak ratio af."
in my bag,in my bag,My friend group chat was giving in my bag energy all day.
beta,beta,This video is giving serious beta vibes.
rent free af,extremely staying in your mind uninvited,This video is giving serious rent free af vibes.
so bro,extremely friend or dude,He went full bro mode during the match.
so iykyk,extremely if you know you know,The vibe in that room was literally iykyk.
big vibe,atmosphere or feeling,They were being so big vibe about this whole thing.
so he cooked,extremely he did it perfectly,That fit is so he cooked.
sus,Suspicious or questionable.,"""That sounds sus to me."""
cap,A lie or something untrue.,"""That's cap, you didn't do that."""
hot take,an opinion or perspective,I have been on my hot take behavior lately.
yapping,talking too much,He keeps yapping about the same thing.
dead af,extremely dead,Is it just me or is this giving dead af energy?
shade af,extremely disrespect or indirect insult,"Bro, you are literally giving shade af right now."
yikes,yikes,She posted that and the energy was yikes.
so npc energy,extremely npc energy,Everything about this moment is npc energy.
goated af,extremely being the greatest,"That fit was actually goated af, no cap."
so ratio,extremely getting more replies than likes,Why is everyone so ratio lately?
low effort,not trying,That was a total low effort moment.
so cap,extremely a lie,The whole comment section was cap about this.
sis af,extremely sister or close female friend,"Wait, was that not completely sis af?"
so dead,extremely dead,Not me acting all dead at the worst time.
hard launch,hard launch,Did you catch how hard launch that was?
corecore af,extremely a deeply emotional internet aesthetic,He is corecore af.
so villain era,extremely villain era,Did you catch how villain era that was?
sus af,extremely suspicious,She posted that and the energy was sus af.
villain era af,extremely villain era,I am feeling really villain era af right now.
simp af,extremely someone who is overly devoted to someone,He is simp af.
so glow up,extremely a major positive transformation,Why is everyone so glow up lately?
so simp,extremely someone who is overly devoted to someone,My friend group chat was giving simp energy all day.
so lowkey,extremely somewhat secretly,I went into full lowkey mode and had no regrets.
flex af,extremely show off,The internet blew up because that was straight flex af.
locked in af,extremely fully focused,She posted that and the energy was locked in af.
frfr,for real for real,They were being so frfr about this whole thing.
so thirsty,extremely thirsty,The internet blew up because that was straight thirsty.
iykyk af,extremely if you know you know,I can not believe how iykyk af that turned out.
so based take,extremely based take,That fit is so based take.
on repeat,on repeat,That is giving on repeat energy.
she cooked af,extremely she did it perfectly,The vibe in that room was literally she cooked af.
so salty,extremely bitter or upset,My friend group chat was giving salty energy all day.
so stan,extremely stan,They were being so stan about this whole thing.
mid af,extremely average or mediocre,"That fit was actually mid af, no cap."
so soft launch,extremely subtly hinting about a relationship,Everyone on Discord went full soft launch when that happened.
ngl,not gonna lie,"You cooked so hard, that was peak ngl."
so no cap,"extremely honestly, no lie",That fit is so no cap.
npc energy,someone acting without personality,That person has npc energy today.
so caught in 4k,extremely caught with undeniable proof,That whole situation was pure caught in 4k.
so caught lacking,extremely caught lacking,He was being totally caught lacking at the party.
mid,average or not good,She has such mid energy today.
cooked,in trouble or did well,That comeback was so cooked honestly.
